Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-04-01,00:00,21.71,58.25,26.00,,,,,,2.00,2.00,,,,,,,,
2020-04-01,00:15,,,,,,,,,,,,,,,,,,
2020-04-01,00:30,21.61,57.53,500.00,,,,,,1.00,2.00,,,,,,,,
2020-04-01,00:45,22.03,54.58,402.00,,,,,,2.00,4.00,,,,,,,,
2020-04-01,01:00,22.21,56.14,25.00,,,,,,2.00,2.00,,,,,,,,
2020-04-01,01:15,22.17,56.35,258.00,,,,,,2.00,2.00,,,,,,,,
2020-04-01,01:30,22.05,56.28,236.00,,,,,,2.00,2.00,,,,,,,,
2020-04-01,01:45,,,,,,,,,,,,,,,,,,
2020-04-01,02:00,21.90,55.92,614.00,,,,,,1.00,4.00,,,,,,,,
2020-04-01,02:15,21.80,56.01,439.00,,,,,,2.00,3.00,,,,,,,,
2020-04-01,02:30,21.76,56.40,409.00,,,,,,2.00,4.00,,,,,,,,
2020-04-01,02:45,21.98,54.68,341.00,,,,,,2.00,4.00,,,,,,,,
2020-04-01,03:00,22.34,53.08,230.00,,,,,,2.00,2.00,,,,,,,,
2020-04-01,03:15,22.33,54.10,316.00,,,,,,1.00,2.00,,,,,,,,
2020-04-01,03:30,22.16,54.33,276.00,,,,,,0.00,1.00,,,,,,,,
2020-04-01,03:45,21.90,53.72,299.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,04:00,21.74,52.69,34.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,04:15,,,,,,,,,,,,,,,,,,
2020-04-01,04:30,21.56,52.10,102.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,04:45,21.36,52.42,31.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,05:00,21.30,52.13,32.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,05:15,21.11,52.26,22.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,05:30,21.00,52.36,25.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,05:45,20.89,52.66,24.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,06:00,,,,,,,,,,,,,,,,,,
2020-04-01,06:15,20.81,52.48,28.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,06:30,21.19,50.76,34.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,06:45,21.00,51.55,23.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,07:00,20.77,51.70,27.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,07:15,21.01,50.15,26.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,07:30,21.14,50.08,24.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,07:45,20.85,51.08,27.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,08:00,20.93,50.42,56.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,08:15,21.15,49.83,28.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,08:30,20.96,50.38,26.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,08:45,20.78,50.68,30.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,09:00,21.06,50.03,24.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,09:15,21.38,49.02,29.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,09:30,21.31,49.22,28.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,09:45,21.02,49.21,24.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,10:00,,,,,,,,,,,,,,,,,,
2020-04-01,10:15,20.79,49.78,29.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,10:30,21.09,48.77,28.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,10:45,21.38,47.78,116.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,11:00,21.20,48.48,83.00,,,,,,0.00,0.00,,,,,,,,
2020-04-01,11:15,21.29,48.13,30.00,,,,,,0.00,1.00,,,,,,,,
2020-04-01,11:30,21.32,48.09,31.00,,,,,,1.00,2.00,,,,,,,,
2020-04-01,11:45,,,,,,,,,,,,,,,,,,
2020-04-01,12:00,20.97,48.66,24.00,,,,,,2.00,3.00,,,,,,,,
2020-04-01,12:15,,,,,,,,,,,,,,,,,,
2020-04-01,12:30,20.78,49.61,28.00,,,,,,3.00,4.00,,,,,,,,
2020-04-01,12:45,,,,,,,,,,,,,,,,,,
2020-04-01,13:00,20.64,49.81,23.00,,,,,,4.00,10.00,,,,,,,,
2020-04-01,13:15,20.50,50.18,25.00,,,,,,3.00,9.00,,,,,,,,
2020-04-01,13:30,20.73,49.53,379.00,,,,,,4.00,7.00,,,,,,,,
2020-04-01,13:45,21.21,48.35,32.00,,,,,,5.00,11.00,,,,,,,,
2020-04-01,14:00,21.19,49.62,310.00,,,,,,7.00,14.00,,,,,,,,
2020-04-01,14:15,21.06,50.69,514.00,,,,,,5.00,13.00,,,,,,,,
2020-04-01,14:30,20.97,51.46,304.00,,,,,,7.00,11.00,,,,,,,,
2020-04-01,14:45,20.93,51.90,319.00,,,,,,8.00,9.00,,,,,,,,
2020-04-01,15:00,21.03,53.04,529.00,,,,,,7.00,9.00,,,,,,,,
2020-04-01,15:15,21.11,54.53,386.00,,,,,,8.00,10.00,,,,,,,,
2020-04-01,15:30,21.24,55.59,566.00,,,,,,9.00,11.00,,,,,,,,
2020-04-01,15:45,21.48,55.87,405.00,,,,,,8.00,12.00,,,,,,,,
2020-04-01,16:00,21.76,55.97,325.00,,,,,,9.00,9.00,,,,,,,,
2020-04-01,16:15,22.15,55.12,362.00,,,,,,5.00,10.00,,,,,,,,
2020-04-01,16:30,22.52,53.88,309.00,,,,,,6.00,10.00,,,,,,,,
2020-04-01,16:45,22.62,54.44,423.00,,,,,,8.00,11.00,,,,,,,,
2020-04-01,17:00,22.81,54.16,316.00,,,,,,5.00,11.00,,,,,,,,
2020-04-01,17:15,22.86,54.22,338.00,,,,,,5.00,10.00,,,,,,,,
2020-04-01,17:30,22.81,53.79,271.00,,,,,,7.00,11.00,,,,,,,,
2020-04-01,17:45,22.76,54.10,283.00,,,,,,5.00,8.00,,,,,,,,
2020-04-01,18:00,22.67,54.14,481.00,,,,,,5.00,10.00,,,,,,,,
2020-04-01,18:15,22.61,54.46,216.00,,,,,,4.00,9.00,,,,,,,,
2020-04-01,18:30,22.54,54.79,375.00,,,,,,5.00,8.00,,,,,,,,
2020-04-01,18:45,22.47,55.26,163.00,,,,,,7.00,8.00,,,,,,,,
2020-04-01,19:00,22.50,56.52,391.00,,,,,,5.00,10.00,,,,,,,,
2020-04-01,19:15,22.54,56.87,316.00,,,,,,4.00,9.00,,,,,,,,
2020-04-01,19:30,22.55,57.56,311.00,,,,,,4.00,8.00,,,,,,,,
2020-04-01,19:45,22.67,57.92,317.00,,,,,,5.00,9.00,,,,,,,,
2020-04-01,20:00,22.73,58.70,350.00,,,,,,4.00,9.00,,,,,,,,
2020-04-01,20:15,22.85,58.80,357.00,,,,,,3.00,10.00,,,,,,,,
2020-04-01,20:30,22.82,58.29,24.00,,,,,,3.00,10.00,,,,,,,,
2020-04-01,20:45,22.80,57.88,79.00,,,,,,3.00,12.00,,,,,,,,
2020-04-01,21:00,22.76,57.36,306.00,,,,,,3.00,15.00,,,,,,,,
2020-04-01,21:15,22.69,57.15,24.00,,,,,,14.00,14.00,,,,,,,,
2020-04-01,21:30,22.80,56.53,355.00,,,,,,3.00,15.00,,,,,,,,
2020-04-01,21:45,22.69,56.78,308.00,,,,,,7.00,12.00,,,,,,,,
2020-04-01,22:00,22.62,57.09,367.00,,,,,,3.00,9.00,,,,,,,,
2020-04-01,22:15,22.55,57.13,314.00,,,,,,2.00,4.00,,,,,,,,
2020-04-01,22:30,22.48,57.08,64.00,,,,,,2.00,3.00,,,,,,,,
2020-04-01,22:45,,,,,,,,,,,,,,,,,,
2020-04-01,23:00,22.46,56.47,373.00,,,,,,2.00,3.00,,,,,,,,
2020-04-01,23:15,,,,,,,,,,,,,,,,,,
2020-04-01,23:30,22.53,57.43,379.00,,,,,,2.00,4.00,,,,,,,,
2020-04-01,23:45,,,,,,,,,,,,,,,,,,
2020-04-02,00:00,22.52,58.18,338.00,,,,,,2.00,3.00,,,,,,,,
2020-04-02,00:15,,,,,,,,,,,,,,,,,,
2020-04-02,00:30,22.42,58.48,487.00,,,,,,2.00,4.00,,,,,,,,
2020-04-02,00:45,22.28,58.21,296.00,,,,,,2.00,2.00,,,,,,,,
