Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-02-01,00:00,24.55,41.11,540.00,,,,,,2.00,4.00,,,,,,,,
2020-02-01,00:15,24.32,41.64,642.00,,,,,,2.00,2.00,,,,,,,,
2020-02-01,00:30,24.22,43.47,380.00,,,,,,1.00,4.00,,,,,,,,
2020-02-01,00:45,24.15,46.02,396.00,,,,,,2.00,2.00,,,,,,,,
2020-02-01,01:00,24.09,46.58,373.00,,,,,,2.00,2.00,,,,,,,,
2020-02-01,01:15,24.06,46.27,391.00,,,,,,2.00,2.00,,,,,,,,
2020-02-01,01:30,23.99,45.89,283.00,,,,,,2.00,3.00,,,,,,,,
2020-02-01,01:45,23.89,46.08,327.00,,,,,,2.00,4.00,,,,,,,,
2020-02-01,02:00,23.65,46.14,377.00,,,,,,2.00,2.00,,,,,,,,
2020-02-01,02:15,23.62,46.16,472.00,,,,,,2.00,4.00,,,,,,,,
2020-02-01,02:30,23.46,45.99,256.00,,,,,,2.00,2.00,,,,,,,,
2020-02-01,02:45,23.42,45.96,24.00,,,,,,2.00,2.00,,,,,,,,
2020-02-01,03:00,23.33,45.47,253.00,,,,,,2.00,4.00,,,,,,,,
2020-02-01,03:15,23.18,45.90,341.00,,,,,,2.00,2.00,,,,,,,,
2020-02-01,03:30,23.11,46.58,506.00,,,,,,1.00,2.00,,,,,,,,
2020-02-01,03:45,23.12,46.30,366.00,,,,,,2.00,4.00,,,,,,,,
2020-02-01,04:00,23.09,45.98,367.00,,,,,,2.00,4.00,,,,,,,,
2020-02-01,04:15,23.03,46.10,359.00,,,,,,2.00,4.00,,,,,,,,
2020-02-01,04:30,23.03,45.56,321.00,,,,,,2.00,4.00,,,,,,,,
2020-02-01,04:45,23.05,45.06,31.00,,,,,,0.00,5.00,,,,,,,,
2020-02-01,05:00,22.98,44.72,349.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,05:15,22.96,44.11,24.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,05:30,22.88,43.88,28.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,05:45,22.78,43.75,68.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,06:00,22.70,43.37,24.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,06:15,22.59,43.33,24.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,06:30,22.54,43.42,25.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,06:45,22.45,43.08,22.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,07:00,22.36,43.09,26.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,07:15,22.32,42.85,21.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,07:30,22.27,42.83,27.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,07:45,22.19,42.95,24.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,08:00,22.08,43.07,21.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,08:15,21.98,43.13,24.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,08:30,21.98,42.95,27.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,08:45,21.93,42.82,22.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,09:00,21.87,42.83,24.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,09:15,21.76,43.00,22.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,09:30,21.74,42.79,29.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,09:45,21.64,42.86,20.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,10:00,21.58,42.93,27.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,10:15,21.51,42.79,21.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,10:30,21.46,42.82,25.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,10:45,21.41,42.68,24.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,11:00,21.36,42.63,32.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,11:15,21.30,42.66,20.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,11:30,21.21,42.80,25.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,11:45,21.14,42.93,22.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,12:00,21.11,42.83,495.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,12:15,21.41,41.60,56.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,12:30,21.69,40.89,32.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,12:45,22.01,40.28,21.00,,,,,,0.00,0.00,,,,,,,,
2020-02-01,13:00,22.25,40.59,28.00,,,,,,0.00,1.00,,,,,,,,
2020-02-01,13:15,22.14,41.35,27.00,,,,,,1.00,1.00,,,,,,,,
2020-02-01,13:30,,,,,,,,,,,,,,,,,,
2020-02-01,13:45,21.99,41.76,34.00,,,,,,0.00,1.00,,,,,,,,
2020-02-01,14:00,21.85,41.95,349.00,,,,,,1.00,1.00,,,,,,,,
2020-02-01,14:15,22.06,41.53,180.00,,,,,,1.00,1.00,,,,,,,,
2020-02-01,14:30,22.18,41.45,35.00,,,,,,1.00,3.00,,,,,,,,
2020-02-01,14:45,,,,,,,,,,,,,,,,,,
2020-02-01,15:00,21.91,42.44,38.00,,,,,,1.00,2.00,,,,,,,,
2020-02-01,15:15,21.84,42.82,239.00,,,,,,1.00,2.00,,,,,,,,
2020-02-01,15:30,21.86,43.03,1055.00,,,,,,2.00,5.00,,,,,,,,
2020-02-01,15:45,21.87,43.30,346.00,,,,,,3.00,5.00,,,,,,,,
2020-02-01,16:00,21.88,43.17,301.00,,,,,,2.00,5.00,,,,,,,,
2020-02-01,16:15,21.81,43.41,218.00,,,,,,2.00,5.00,,,,,,,,
2020-02-01,16:30,21.80,44.10,259.00,,,,,,2.00,3.00,,,,,,,,
2020-02-01,16:45,21.89,43.94,350.00,,,,,,2.00,3.00,,,,,,,,
2020-02-01,17:00,21.85,44.24,337.00,,,,,,2.00,4.00,,,,,,,,
2020-02-01,17:15,21.86,45.01,575.00,,,,,,2.00,6.00,,,,,,,,
2020-02-01,17:30,21.85,45.34,307.00,,,,,,2.00,5.00,,,,,,,,
2020-02-01,17:45,21.77,44.80,254.00,,,,,,1.00,5.00,,,,,,,,
2020-02-01,18:00,21.70,43.91,22.00,,,,,,1.00,1.00,,,,,,,,
