Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-01-12,05:00,25.50,48.76,534.00,,,,,,3.00,10.00,,,,,,,,
2020-01-12,05:15,25.79,46.90,394.00,,,,,,5.00,10.00,,,,,,,,
2020-01-12,05:30,25.88,45.86,401.00,,,,,,1.00,10.00,,,,,,,,
2020-01-12,05:45,25.53,46.62,25.00,,,,,,1.00,1.00,,,,,,,,
2020-01-12,06:00,,,,,,,,,,,,,,,,,,
2020-01-12,06:15,24.72,48.16,30.00,,,,,,1.00,1.00,,,,,,,,
2020-01-12,06:30,24.15,49.60,510.00,,,,,,0.00,1.00,,,,,,,,
2020-01-12,06:45,24.02,49.98,20.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,07:00,,,,,,,,,,,,,,,,,,
2020-01-12,07:15,23.94,50.44,80.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,07:30,,,,,,,,,,,,,,,,,,
2020-01-12,07:45,23.78,50.60,29.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,08:00,,,,,,,,,,,,,,,,,,
2020-01-12,08:15,23.69,50.79,90.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,08:30,23.17,54.66,32.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,08:45,23.16,54.78,24.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,09:00,,,,,,,,,,,,,,,,,,
2020-01-12,09:15,23.49,53.35,28.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,09:30,,,,,,,,,,,,,,,,,,
2020-01-12,09:45,23.64,52.88,23.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,10:00,,,,,,,,,,,,,,,,,,
2020-01-12,10:15,23.59,52.94,27.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,10:30,,,,,,,,,,,,,,,,,,
2020-01-12,10:45,23.55,53.10,24.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,11:00,,,,,,,,,,,,,,,,,,
2020-01-12,11:15,23.52,53.26,34.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,11:30,,,,,,,,,,,,,,,,,,
2020-01-12,11:45,23.50,53.53,25.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,12:00,23.50,53.66,26.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,12:15,23.54,53.76,24.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,12:30,,,,,,,,,,,,,,,,,,
2020-01-12,12:45,23.51,53.94,23.00,,,,,,0.00,0.00,,,,,,,,
2020-01-12,13:00,,,,,,,,,,,,,,,,,,
2020-01-12,13:15,23.50,54.33,31.00,,,,,,0.00,1.00,,,,,,,,
2020-01-12,13:30,,,,,,,,,,,,,,,,,,
2020-01-12,13:45,23.50,54.56,24.00,,,,,,1.00,2.00,,,,,,,,
2020-01-12,14:00,,,,,,,,,,,,,,,,,,
2020-01-12,14:15,23.57,54.70,24.00,,,,,,1.00,2.00,,,,,,,,
2020-01-12,14:30,,,,,,,,,,,,,,,,,,
2020-01-12,14:45,23.67,54.69,29.00,,,,,,1.00,2.00,,,,,,,,
2020-01-12,15:00,23.79,54.59,405.00,,,,,,2.00,5.00,,,,,,,,
2020-01-12,15:15,23.93,54.82,597.00,,,,,,3.00,7.00,,,,,,,,
2020-01-12,15:30,23.99,55.29,287.00,,,,,,3.00,5.00,,,,,,,,
2020-01-12,15:45,24.07,55.07,286.00,,,,,,4.00,7.00,,,,,,,,
2020-01-12,16:00,24.09,55.51,303.00,,,,,,5.00,8.00,,,,,,,,
2020-01-12,16:15,24.18,55.30,305.00,,,,,,4.00,8.00,,,,,,,,
2020-01-12,16:30,24.25,55.16,238.00,,,,,,5.00,6.00,,,,,,,,
2020-01-12,16:45,24.29,54.65,24.00,,,,,,4.00,6.00,,,,,,,,
2020-01-12,17:00,24.40,53.74,26.00,,,,,,5.00,6.00,,,,,,,,
2020-01-12,17:15,24.44,54.29,465.00,,,,,,3.00,7.00,,,,,,,,
2020-01-12,17:30,24.51,54.91,334.00,,,,,,3.00,7.00,,,,,,,,
2020-01-12,17:45,24.55,54.16,24.00,,,,,,2.00,4.00,,,,,,,,
2020-01-12,18:00,24.51,53.84,342.00,,,,,,3.00,3.00,,,,,,,,
2020-01-12,18:15,24.72,53.46,283.00,,,,,,2.00,3.00,,,,,,,,
2020-01-12,18:30,,,,,,,,,,,,,,,,,,
2020-01-12,18:45,25.04,52.83,26.00,,,,,,2.00,3.00,,,,,,,,
2020-01-12,19:00,25.19,52.72,23.00,,,,,,2.00,2.00,,,,,,,,
2020-01-12,19:15,25.38,52.48,22.00,,,,,,2.00,2.00,,,,,,,,
2020-01-12,19:30,,,,,,,,,,,,,,,,,,
2020-01-12,19:45,25.60,51.64,25.00,,,,,,2.00,2.00,,,,,,,,
2020-01-12,20:00,25.62,51.20,21.00,,,,,,,,,,,,,,,
