Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-03-01,15:15,21.81,32.70,462.00,,,,,,4.00,9.00,,,,,,,,
2020-03-01,15:30,22.37,31.81,145.00,,,,,,7.00,7.00,,,,,,,,
2020-03-01,15:45,22.26,32.50,213.00,,,,,,7.00,9.00,,,,,,,,
2020-03-01,16:00,21.91,33.22,323.00,,,,,,5.00,9.00,,,,,,,,
2020-03-01,16:15,21.86,32.80,32.00,,,,,,6.00,9.00,,,,,,,,
2020-03-01,16:30,21.72,32.60,24.00,,,,,,4.00,9.00,,,,,,,,
2020-03-01,16:45,,,,,,,,,,,,,,,,,,
2020-03-01,17:00,21.76,33.47,476.00,,,,,,3.00,9.00,,,,,,,,
2020-03-01,17:15,21.76,34.46,,,,,,,,,,,,,,,,
2020-03-01,17:30,21.98,34.89,453.00,,,,,,3.00,9.00,,,,,,,,
2020-03-01,17:45,22.36,34.85,28.00,,,,,,6.00,6.00,,,,,,,,
2020-03-01,18:00,,,,,,,,,,,,,,,,,,
2020-03-01,18:15,22.86,34.59,385.00,,,,,,4.00,6.00,,,,,,,,
2020-03-01,18:30,23.31,35.01,367.00,,,,,,4.00,6.00,,,,,,,,
2020-03-01,18:45,23.36,35.83,555.00,,,,,,6.00,9.00,,,,,,,,
2020-03-01,19:00,23.40,35.91,381.00,,,,,,6.00,7.00,,,,,,,,
2020-03-01,19:15,23.33,36.15,341.00,,,,,,4.00,6.00,,,,,,,,
2020-03-01,19:30,23.20,35.70,273.00,,,,,,4.00,4.00,,,,,,,,
2020-03-01,19:45,23.12,35.54,476.00,,,,,,3.00,6.00,,,,,,,,
2020-03-01,20:00,23.02,35.84,554.00,,,,,,4.00,4.00,,,,,,,,
2020-03-01,20:15,22.90,36.40,411.00,,,,,,3.00,5.00,,,,,,,,
2020-03-01,20:30,22.83,36.12,407.00,,,,,,3.00,5.00,,,,,,,,
2020-03-01,20:45,22.79,35.53,293.00,,,,,,3.00,4.00,,,,,,,,
2020-03-01,21:00,22.71,35.96,353.00,,,,,,3.00,4.00,,,,,,,,
2020-03-01,21:15,22.64,36.06,335.00,,,,,,2.00,4.00,,,,,,,,
2020-03-01,21:30,22.55,36.37,342.00,,,,,,3.00,4.00,,,,,,,,
2020-03-01,21:45,22.48,36.20,22.00,,,,,,3.00,3.00,,,,,,,,
2020-03-01,22:00,22.40,36.21,22.00,,,,,,2.00,3.00,,,,,,,,
2020-03-01,22:15,22.39,36.42,439.00,,,,,,2.00,4.00,,,,,,,,
